Week Ending Date,Actual deaths,Maximum expected deaths,Baseline
1/14/17,61114,60526,0
1/21/17,59444,60801,0
1/28/17,58186,60620,0
2/4/17,58550,60386,0
2/11/17,59162,60180,0
2/18/17,58591,59944,0
2/25/17,58385,59499,0
3/4/17,57359,59147,0
3/11/17,57597,58772,0
3/18/17,56779,58478,0
3/25/17,57172,58105,0
4/1/17,55828,57434,0
4/8/17,55267,56929,0
4/15/17,54976,56529,0
4/22/17,53168,56181,0
4/29/17,53404,55640,0
5/6/17,52759,54774,0
5/13/17,52076,54369,0
5/20/17,52574,54060,0
5/27/17,51102,53851,0
6/3/17,51369,53434,0
6/10/17,51525,53140,0
6/17/17,50933,53001,0
6/24/17,51326,53090,0
7/1/17,50742,53053,0
7/8/17,51101,52970,0
7/15/17,50124,52881,0
7/22/17,50229,52883,0
7/29/17,49493,52928,0
8/5/17,50210,52817,0
8/12/17,50364,52758,0
8/19/17,50303,52717,0
8/26/17,49659,52869,0
9/2/17,50960,53063,0
9/9/17,51111,53174,0
9/16/17,51820,53311,0
9/23/17,51353,53663,0
9/30/17,51467,54054,0
10/7/17,52250,54481,0
10/14/17,51703,54936,0
10/21/17,52357,55175,0
10/28/17,52672,55388,0
11/4/17,53823,55661,0
11/11/17,53384,56032,0
11/18/17,53909,56476,0
11/25/17,54225,57216,0
12/2/17,54913,57701,0
12/9/17,55746,58372,0
12/16/17,57548,58761,0
12/23/17,59674,59432,0
12/30/17,61251,60253,0
1/6/18,66317,61266,0
1/13/18,67664,61879,0
1/20/18,64842,62436,0
1/27/18,62922,62082,0
2/3/18,61124,61859,0
2/10/18,61264,61638,0
2/17/18,59931,61453,0
2/24/18,57934,61182,0
3/3/18,56829,60773,0
3/10/18,57226,60366,0
3/17/18,56462,59953,0
3/24/18,55930,59472,0
3/31/18,55045,58797,0
4/7/18,55420,58225,0
4/14/18,55354,57589,0
4/21/18,54153,57200,0
4/28/18,53853,56642,0
5/5/18,53874,55982,0
5/12/18,52215,55440,0
5/19/18,50739,55125,0
5/26/18,51066,54894,0
6/2/18,51163,54478,0
6/9/18,52123,54128,0
6/16/18,51514,53970,0
6/23/18,51230,53971,0
6/30/18,50995,54030,0
7/7/18,51812,53865,0
7/14/18,51338,53691,0
7/21/18,50730,53804,0
7/28/18,50432,53711,0
8/4/18,50799,53973,0
8/11/18,51130,53726,0
8/18/18,50423,53776,0
8/25/18,50577,54101,0
9/1/18,50757,54097,0
9/8/18,50429,54506,0
9/15/18,51215,54625,0
9/22/18,51720,54779,0
9/29/18,51098,55284,0
10/6/18,52486,55382,0
10/13/18,51972,55699,0
10/20/18,53113,56187,0
10/27/18,53881,56298,0
11/3/18,53795,56500,0
11/10/18,53692,57108,0
11/17/18,54820,57377,0
11/24/18,54981,57839,0
12/1/18,55210,58497,0
12/8/18,56095,59058,0
12/15/18,56531,59887,0
12/22/18,56688,60869,0
12/29/18,56163,61844,0
1/5/19,58463,62597,0
1/12/19,58513,64025,0
1/19/19,58354,64203,0
1/26/19,58045,64217,0
2/2/19,58278,63296,0
2/9/19,58653,63160,0
2/16/19,58129,62624,0
2/23/19,58135,62227,0
3/2/19,58075,61683,0
3/9/19,58669,61157,0
3/16/19,58022,60695,0
3/23/19,57221,60231,0
3/30/19,56776,59580,0
4/6/19,56727,59191,0
4/13/19,55635,58519,0
4/20/19,54590,57961,0
4/27/19,53786,57407,0
5/4/19,54118,56677,0
5/11/19,53613,56256,0
5/18/19,53684,55817,0
5/25/19,53828,55391,0
6/1/19,52858,55190,0
6/8/19,53304,54945,0
6/15/19,52793,55036,0
6/22/19,52424,55032,0
6/29/19,52324,54847,0
7/6/19,52516,54703,0
7/13/19,52077,54306,0
7/20/19,51796,54389,0
7/27/19,51803,54340,0
8/3/19,51549,54211,0
8/10/19,51862,54103,0
8/17/19,51132,54103,0
8/24/19,51148,54242,0
8/31/19,51296,54497,0
9/7/19,51959,54637,0
9/14/19,51747,54867,0
9/21/19,51910,54976,0
9/28/19,52885,55344,0
10/5/19,52687,55712,0
10/12/19,53221,56077,0
10/19/19,54437,56619,0
10/26/19,54156,56709,0
11/2/19,54213,56917,0
11/9/19,55802,57276,0
11/16/19,56050,57815,0
11/23/19,56319,58156,0
11/30/19,55598,58971,0
12/7/19,57436,59250,0
12/14/19,57775,59900,0
12/21/19,57580,60456,0
12/28/19,58617,61537,0
1/4/20,60145,61902,0
1/11/20,60707,62499,0
1/18/20,59339,62546,0
1/25/20,59126,62611,0
2/1/20,58780,62074,0
2/8/20,59351,61902,0
2/15/20,58775,61738,0
2/22/20,58851,61383,0
2/29/20,59248,60941,0
3/7/20,59619,60659,0
3/14/20,58607,60273,0
3/21/20,59132,59945,0
3/28/20,62951,59391,0
4/4/20,72191,58733,0
4/11/20,78983,58264,0
4/18/20,76694,57632,0
4/25/20,74215,57051,0
5/2/20,69604,56387,0
5/9/20,67117,55811,0
5/16/20,64763,55520,0
5/23/20,61871,55138,0
5/30/20,59920,54960,0
6/6/20,59128,54761,0
6/13/20,58265,54552,0
6/20/20,58208,54646,0
6/27/20,58768,54418,0
7/4/20,60072,54265,0
7/11/20,62100,54140,0
7/18/20,63256,53932,0
7/25/20,64111,53919,0
8/1/20,63713,53686,0
8/8/20,63841,53661,0
8/15/20,63488,53608,0
8/22/20,61861,53632,0
8/29/20,59511,53833,0
9/5/20,57846,53944,0
9/12/20,56981,54163,0
9/19/20,57056,54394,0
9/26/20,56933,54833,0
10/3/20,51358,55287,0
